2026-04-13 17:47:53.138 INFO  (coreLoadExecutor-13-thread-1) [ x:nomologia] o.a.s.s.DirectSolrSpellChecker init: {accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2026-04-13 17:47:53.141 INFO  (coreLoadExecutor-13-thread-1) [ x:nomologia] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2026-04-13 17:47:53.142 INFO  (searcherExecutor-15-thread-1-processing-nomologia) [ x:nomologia] o.a.s.c.QuerySenderListener QuerySenderListener done.
2026-04-13 17:47:53.142 INFO  (searcherExecutor-15-thread-1-processing-nomologia) [ x:nomologia] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2026-04-13 17:47:53.144 INFO  (searcherExecutor-15-thread-1-processing-nomologia) [ x:nomologia] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2026-04-13 17:50:06.134 WARN  (qtp324404955-94-null-1) [ x:nomologia t:null-1] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:06.175 INFO  (qtp324404955-94-null-1) [ x:nomologia t:null-1] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=a&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=80
2026-04-13 17:50:06.397 WARN  (qtp324404955-94-null-2) [ x:nomologia t:null-2] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:06.398 INFO  (qtp324404955-94-null-2) [ x:nomologia t:null-2] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=ap&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=2
2026-04-13 17:50:06.630 WARN  (qtp324404955-94-null-3) [ x:nomologia t:null-3] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:06.631 INFO  (qtp324404955-94-null-3) [ x:nomologia t:null-3] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=apo&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:06.857 WARN  (qtp324404955-94-null-4) [ x:nomologia t:null-4] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:06.858 INFO  (qtp324404955-94-null-4) [ x:nomologia t:null-4] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=apof&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:07.065 WARN  (qtp324404955-59-null-5) [ x:nomologia t:null-5] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:07.065 INFO  (qtp324404955-59-null-5) [ x:nomologia t:null-5] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=ap&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=4
2026-04-13 17:50:07.281 WARN  (qtp324404955-60-null-6) [ x:nomologia t:null-6] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:07.282 INFO  (qtp324404955-60-null-6) [ x:nomologia t:null-6] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=a&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:07.502 WARN  (qtp324404955-61-null-7) [ x:nomologia t:null-7] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:07.503 INFO  (qtp324404955-61-null-7) [ x:nomologia t:null-7] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=apofa&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=2
